index,image,transcription,length
321,g06-047l-02-12,0,1.0
322,g06-047l-02-08,a,1.0
323,a05-058-00-08,0,1.0
324,g06-047l-02-03,a,1.0
325,g06-047l-01-04,a,1.0
326,a05-058-01-06,I,1.0
327,g06-047l-00-05,0,1.0
328,g06-047l-05-06,0,1.0
329,g06-047k-03-04,0,1.0
330,a05-058-02-07,0,1.0
331,g06-047k-02-05,a,1.0
332,a05-058-03-03,0,1.0
333,g06-047k-01-05,a,1.0
334,a05-058-03-06,0,1.0
335,g06-047k-00-05,0,1.0
336,g06-047j-07-03,0,1.0
337,g06-047k-03-00,a,1.0
338,g06-047j-06-09,0,1.0
339,g06-047l-05-10,0,1.0
340,g06-047m-01-05,a,1.0
341,g06-047o-00-05,0,1.0
342,a05-053-05-05,a,1.0
343,a05-053-05-07,0,1.0
344,g06-047n-07-05,0,1.0
345,g06-047n-07-01,0,1.0
346,a05-053-06-07,0,1.0
347,g06-047n-03-07,0,1.0
348,g06-047m-00-05,0,1.0
349,g06-047n-03-03,a,1.0
350,g06-047n-00-05,0,1.0
351,a05-053-08-01,0,1.0
352,g06-047m-07-03,0,1.0
353,g06-047m-03-07,0,1.0
354,g06-047m-03-03,a,1.0
355,g06-047m-02-08,a,1.0
356,a05-053-09-05,a,1.0
357,g06-047n-01-05,a,1.0
358,g06-047o-02-00,a,1.0
359,g06-047j-03-07,0,1.0
360,g06-047j-02-08,a,1.0
361,g06-047g-01-04,a,1.0
362,a05-069-00-05,a,1.0
363,g06-047f-04-06,0,1.0
364,g06-047f-04-02,0,1.0
365,g06-047f-02-05,0,1.0
366,g06-047f-02-01,a,1.0
367,g06-047f-01-11,a,1.0
368,g06-047g-02-03,a,1.0
369,g06-047f-01-02,a,1.0
370,g06-047f-00-05,0,1.0
371,a05-069-03-05,0,1.0
372,g06-047e-04-12,0,1.0
373,a05-069-04-01,0,1.0
374,g06-047e-04-08,0,1.0
375,g06-047e-02-07,0,1.0
376,g06-047e-02-03,a,1.0
377,a05-069-03-03,a,1.0
378,g06-047j-03-03,a,1.0
379,g06-047g-02-08,a,1.0
380,a05-062-06-08,0,1.0
381,g06-047j-01-05,a,1.0
382,g06-047j-00-05,0,1.0
383,g06-047i-02-12,0,1.0
384,g06-047i-02-08,a,1.0
385,a05-062-00-01,a,1.0
386,g06-047i-02-03,a,1.0
387,g06-047i-01-04,a,1.0
388,g06-047g-02-12,0,1.0
389,g06-047i-00-05,0,1.0
390,g06-047h-02-12,0,1.0
391,g06-047h-02-08,a,1.0
392,g06-047h-02-03,a,1.0
393,g06-047h-01-04,a,1.0
394,g06-047h-00-05,0,1.0
395,g06-047g-05-03,0,1.0
396,g06-047g-04-13,0,1.0
397,a05-062-02-04,0,1.0
398,g06-047e-01-12,a,1.0
399,g06-047o-02-09,a,1.0
400,g06-047o-03-07,0,1.0
401,a05-044-07-02,0,1.0
402,g06-050d-05-06,0,1.0
403,g06-050d-05-02,0,1.0
404,g06-050d-04-07,a,1.0
405,g06-050d-04-03,0,1.0
406,g06-050d-04-01,a,1.0
407,g06-050d-01-06,0,1.0
408,a05-044-06-05,0,1.0
409,g06-050d-01-03,0,1.0
410,g06-050c-06-06,0,1.0
411,g06-050c-06-02,0,1.0
412,g06-050c-05-06,0,1.0
413,g06-050c-05-01,a,1.0
414,a05-048-00-05,8,1.0
415,g06-050c-04-06,0,1.0
416,g06-050c-04-04,a,1.0
417,g06-050c-07-02,0,1.0
418,g06-050c-01-06,0,1.0
419,g06-050e-01-01,0,1.0
420,g06-050e-03-06,a,1.0
421,g06-050f-03-08,a,1.0
422,g06-050f-03-04,0,1.0
423,g06-050f-03-02,a,1.0
424,a05-044-01-02,0,1.0
425,a05-044-01-05,0,1.0
426,g06-050f-01-02,0,1.0
427,g06-050f-00-12,0,1.0
428,g06-050e-01-04,0,1.0
429,a05-044-02-02,0,1.0
430,g06-050e-05-06,0,1.0
431,g06-050e-05-02,0,1.0
432,g06-050e-04-07,0,1.0
433,a05-044-03-06,0,1.0
434,g06-050e-04-02,a,1.0
435,a05-044-04-02,0,1.0
436,g06-050e-03-08,0,1.0
437,g06-050e-05-10,0,1.0
438,g06-047o-03-03,a,1.0
439,g06-050c-01-03,0,1.0
440,g06-050b-06-07,0,1.0
441,g06-047r-02-03,a,1.0
442,g06-047r-01-04,a,1.0
443,g06-047r-00-05,0,1.0
444,a05-048-10-07,a,1.0
445,g06-047p-05-03,0,1.0
446,g06-047p-04-10,0,1.0
447,a05-053-00-06,a,1.0
448,g06-047r-02-08,a,1.0
449,g06-047p-02-08,0,1.0
450,g06-047p-01-12,a,1.0
451,g06-047p-01-03,a,1.0
452,g06-047p-00-05,0,1.0
453,a05-053-03-01,a,1.0
454,g06-047o-07-05,0,1.0
455,g06-047o-07-01,0,1.0
456,a05-053-04-02,a,1.0
457,g06-047p-02-04,a,1.0
458,g06-050b-07-03,0,1.0
459,g06-047r-02-12,0,1.0
460,g06-047r-05-09,0,1.0
461,g06-050b-06-03,0,1.0
462,g06-050b-05-06,0,1.0
463,g06-050b-05-01,a,1.0
464,g06-050b-04-06,0,1.0
465,g06-050b-04-04,a,1.0
466,g06-050b-01-06,0,1.0
467,g06-050b-01-03,0,1.0
468,g06-047r-05-05,0,1.0
469,g06-050a-07-01,0,1.0
470,g06-050a-06-02,0,1.0
471,g06-050a-05-04,0,1.0
472,g06-050a-04-08,a,1.0
473,g06-050a-04-04,0,1.0
474,g06-050a-04-02,a,1.0
475,g06-050a-01-06,0,1.0
476,g06-050a-01-03,0,1.0
477,g06-050a-06-06,0,1.0
478,g06-042r-00-11,0,1.0
479,g06-047e-01-03,a,1.0
480,g06-047d-05-07,0,1.0
481,g06-045h-01-04,0,1.0
482,g06-045g-05-03,0,1.0
483,g06-045g-04-05,a,1.0
484,g06-045g-03-07,0,1.0
485,g06-045g-02-06,0,1.0
486,g06-045g-02-04,a,1.0
487,g06-045g-01-03,0,1.0
488,g06-045h-05-05,a,1.0
489,g06-045g-00-09,0,1.0
490,g06-045f-04-09,0,1.0
491,g06-045f-04-01,a,1.0
492,a05-089-04-09,0,1.0
493,g06-045f-02-03,0,1.0
494,g06-045f-02-01,a,1.0
495,a05-089-05-04,0,1.0
496,g06-045f-01-03,0,1.0
497,a05-089-04-03,0,1.0
498,g06-045f-00-09,0,1.0
499,g06-045h-06-05,0,1.0
500,g06-045i-01-04,0,1.0
501,g06-045j-07-03,0,1.0
502,a05-084-05-07,0,1.0
503,g06-045j-06-02,a,1.0
504,a05-084-05-09,a,1.0
505,g06-045j-05-01,0,1.0
506,g06-045j-03-02,0,1.0
507,g06-045j-03-00,a,1.0
508,g06-045i-00-09,0,1.0
509,g06-045j-01-06,0,1.0
510,g06-045j-01-01,0,1.0
511,a05-084-08-05,0,1.0
512,g06-045i-05-07,0,1.0
513,g06-045i-04-10,a,1.0
514,g06-045i-04-01,0,1.0
515,g06-045i-02-07,0,1.0
516,g06-045i-02-05,a,1.0
517,a05-084-08-02,0,1.0
518,g06-045k-01-04,0,1.0
519,a05-089-06-01,0,1.0
520,g06-045e-05-06,0,1.0
521,g06-045b-06-06,a,1.0
522,g06-045b-05-05,0,1.0
523,g06-045b-03-05,0,1.0
524,g06-045b-03-03,a,1.0
525,a05-094-02-08,0,1.0
526,g06-045b-02-01,0,1.0
527,g06-045b-01-01,0,1.0
528,g06-045b-08-01,0,1.0
529,g06-045a-06-05,0,1.0
530,g06-045a-04-05,0,1.0
531,a05-094-04-02,0,1.0
532,g06-045a-02-08,0,1.0
533,g06-045a-02-06,a,1.0
534,g06-045a-01-04,0,1.0
535,g06-045a-00-09,0,1.0
536,g06-042r-02-06,0,1.0
537,g06-045a-05-05,a,1.0
538,a05-089-06-04,0,1.0
539,g06-045c-01-04,0,1.0
540,g06-045c-02-07,0,1.0
541,g06-045e-04-08,a,1.0
542,g06-045e-03-08,0,1.0
543,a05-089-07-03,0,1.0
544,g06-045e-02-06,0,1.0
545,g06-045e-02-04,a,1.0
546,g06-045d-05-06,0,1.0
547,g06-045d-04-08,a,1.0
548,g06-045c-02-05,a,1.0
549,a05-089-09-04,0,1.0
550,g06-045d-02-06,0,1.0
551,a05-089-10-02,0,1.0
552,g06-045d-02-04,a,1.0
553,g06-045d-01-03,0,1.0
554,g06-045c-06-02,0,1.0
555,g06-045c-05-02,a,1.0
556,g06-045c-04-03,0,1.0
557,g06-045d-03-08,0,1.0
558,g06-047e-00-05,0,1.0
559,g06-045k-02-05,a,1.0
560,g06-045k-04-03,0,1.0
561,g06-047a-06-03,0,1.0
562,g06-047a-05-09,0,1.0
563,g06-047a-02-09,a,1.0
564,a05-073-07-04,a,1.0
565,g06-047a-02-04,a,1.0
566,g06-047a-01-04,a,1.0
567,g06-047a-00-05,0,1.0
568,g06-047b-00-05,0,1.0
569,a05-073-08-04,0,1.0
570,g06-045r-05-00,a,1.0
571,g06-045r-04-02,0,1.0
572,a05-073-09-01,0,1.0
573,g06-045r-02-07,0,1.0
574,g06-045r-02-05,a,1.0
575,a05-073-09-06,a,1.0
576,g06-045r-01-04,0,1.0
577,g06-045r-05-08,0,1.0
578,g06-045p-05-04,0,1.0
579,a05-073-05-06,a,1.0
580,g06-047b-02-05,a,1.0
581,g06-047d-05-03,0,1.0
582,g06-047d-02-12,0,1.0
583,g06-047d-02-08,a,1.0
584,g06-047d-02-03,a,1.0
585,g06-047d-01-04,a,1.0
586,g06-047d-00-05,0,1.0
587,g06-047c-06-05,0,1.0
588,g06-047b-01-04,a,1.0
589,g06-047c-06-01,0,1.0
590,g06-047c-03-00,a,1.0
591,g06-047c-01-04,a,1.0
592,g06-047c-00-05,0,1.0
593,g06-047b-06-07,0,1.0
594,g06-047b-06-03,0,1.0
595,g06-047b-03-04,0,1.0
596,g06-047b-03-00,a,1.0
597,g06-047c-03-04,0,1.0
598,g06-045k-02-07,0,1.0
599,g06-045p-04-05,a,1.0
600,g06-045p-02-03,0,1.0
601,g06-045m-07-04,0,1.0
602,g06-045m-06-03,a,1.0
603,g06-045m-05-03,0,1.0
604,g06-045m-03-03,0,1.0
605,g06-045m-03-01,a,1.0
606,g06-045m-01-06,0,1.0
607,g06-045m-01-01,0,1.0
608,g06-045n-01-01,0,1.0
609,g06-045l-05-07,0,1.0
610,g06-045l-04-01,0,1.0
611,g06-045l-02-06,0,1.0
612,g06-045l-01-03,0,1.0
613,g06-045l-00-09,0,1.0
614,g06-045k-06-02,0,1.0
615,g06-045k-05-02,a,1.0
616,a05-084-04-04,0,1.0
617,g06-045l-04-10,a,1.0
618,g06-045p-03-06,0,1.0
619,g06-045n-02-01,0,1.0
620,g06-045n-03-07,0,1.0
621,g06-045p-02-01,a,1.0
622,g06-045p-01-02,0,1.0
623,g06-045p-00-09,0,1.0
624,g06-045o-08-02,0,1.0
625,g06-045o-07-00,a,1.0
626,a05-080-03-02,0,1.0
627,g06-045o-05-05,0,1.0
628,g06-045n-03-05,a,1.0
629,g06-045o-03-06,0,1.0
630,a05-080-05-02,a,1.0
631,g06-045o-02-01,0,1.0
632,g06-045o-01-01,0,1.0
633,g06-045n-08-04,0,1.0
634,g06-045n-07-02,a,1.0
635,a05-080-06-03,a,1.0
636,g06-045n-06-01,0,1.0
637,g06-045o-03-04,a,1.0
638,g06-031l-05-09,0,1.0
639,g06-031l-05-04,0,1.0
640,g06-031l-05-02,a,1.0
641,g06-011p-05-04,a,1.0
642,g06-011p-05-01,0,1.0
643,g06-011p-03-06,a,1.0
644,g06-011p-03-03,0,1.0
645,a06-147-04-13,a,1.0
646,g06-011p-02-13,0,1.0
647,g06-011p-02-10,0,1.0
648,g06-011p-05-10,0,1.0
649,a06-147-05-05,a,1.0
650,g06-011o-08-04,a,1.0
651,g06-011o-07-00,a,1.0
652,g06-011o-06-06,0,1.0
653,g06-011o-06-00,a,1.0
654,g06-011o-05-10,0,1.0
655,g06-011o-05-07,0,1.0
656,g06-011o-05-05,a,1.0
657,g06-011o-09-03,0,1.0
658,g06-011o-03-16,a,1.0
659,g06-011p-06-02,a,1.0
660,g06-011p-07-03,a,1.0
661,g06-011r-07-10,0,1.0
662,g06-011r-07-04,a,1.0
663,a06-141-05-05,a,1.0
664,g06-011r-06-03,a,1.0
665,g06-011r-05-11,0,1.0
666,g06-011r-05-05,a,1.0
667,g06-011r-05-02,0,1.0
668,a06-147-04-01,a,1.0
669,g06-011r-04-15,0,1.0
670,g06-011r-03-09,a,1.0
671,g06-011r-03-06,0,1.0
672,g06-011r-03-02,0,1.0
673,g06-011r-02-11,0,1.0
674,a06-147-02-08,a,1.0
675,g06-011p-07-09,0,1.0
676,a06-147-03-08,a,1.0
677,g06-011r-04-13,a,1.0
678,g06-018a-00-06,0,1.0
679,g06-011o-03-13,0,1.0
680,g06-011o-03-06,0,1.0
681,g06-011l-03-03,0,1.0
682,g06-011k-09-03,0,1.0
683,g06-011k-08-05,a,1.0
684,g06-011k-07-03,a,1.0
685,g06-011k-06-10,0,1.0
686,g06-011k-06-04,a,1.0
687,g06-011k-06-01,0,1.0
688,g06-011l-03-06,a,1.0
689,g06-011k-05-10,0,1.0
690,b01-004-00-02,a,1.0
691,g06-011k-04-01,a,1.0
692,g06-011k-03-13,0,1.0
693,g06-011k-03-09,0,1.0
694,g06-011k-03-06,0,1.0
695,g06-011j-09-08,0,1.0
696,b01-004-02-06,a,1.0
697,g06-011k-05-08,a,1.0
698,g06-011o-03-09,0,1.0
699,g06-011l-05-01,0,1.0
700,g06-011l-05-10,0,1.0
701,g06-011n-10-02,a,1.0
702,g06-011n-08-05,a,1.0
703,g06-011n-08-02,0,1.0
704,g06-011n-05-04,a,1.0
705,g06-011n-05-01,0,1.0
706,a06-152-10-00,3,1.0
707,a06-152-10-01,a,1.0
708,g06-011l-05-04,a,1.0
709,g06-011m-08-08,0,1.0
710,g06-011m-06-10,a,1.0
711,g06-011m-06-05,0,1.0
712,g06-011m-03-14,a,1.0
713,g06-011m-03-11,0,1.0
714,g06-011m-03-07,0,1.0
715,g06-011m-03-04,0,1.0
716,g06-011l-06-02,a,1.0
717,g06-011m-08-02,a,1.0
718,g06-011j-09-02,a,1.0
719,a06-141-04-10,0,1.0
720,a06-141-04-06,0,1.0
721,g06-018f-05-03,I,1.0
722,g06-018f-04-10,0,1.0
723,g06-018f-04-01,0,1.0
724,g06-018f-02-13,0,1.0
725,g06-018f-02-09,0,1.0
726,g06-018f-02-06,0,1.0
727,g06-018f-01-13,0,1.0
728,g06-018f-05-09,a,1.0
729,g06-018f-01-01,0,1.0
730,g06-018e-06-08,a,1.0
731,g06-018e-06-02,I,1.0
732,g06-018e-05-05,0,1.0
733,g06-018e-04-08,0,1.0
734,a06-134-00-07,a,1.0
735,g06-018e-03-02,0,1.0
736,g06-018e-02-12,0,1.0
737,g06-018f-00-06,0,1.0
738,g06-018e-02-09,0,1.0
739,a06-128-04-06,a,1.0
740,g06-018g-01-01,0,1.0
741,g06-018i-01-01,0,1.0
742,g06-018i-00-06,0,1.0
743,g06-018h-07-00,a,1.0
744,g06-018h-06-04,I,1.0
745,g06-018h-03-02,0,1.0
746,g06-018h-02-12,0,1.0
747,g06-018h-02-09,0,1.0
748,g06-018g-00-06,0,1.0
749,g06-018h-02-01,0,1.0
750,g06-018h-00-06,0,1.0
751,g06-018g-06-03,a,1.0
752,a06-128-00-04,a,1.0
753,g06-018g-05-10,I,1.0
754,g06-018g-05-03,0,1.0
755,g06-018g-04-06,0,1.0
756,g06-018g-03-01,0,1.0
757,g06-018h-01-01,0,1.0
758,g06-018a-01-03,0,1.0
759,g06-018e-02-01,0,1.0
760,g06-018e-00-06,0,1.0
761,g06-018c-00-06,0,1.0
762,g06-018b-09-07,a,1.0
763,g06-018b-09-01,I,1.0
764,g06-018b-08-01,0,1.0
765,g06-018b-07-01,0,1.0
766,g06-018b-03-09,0,1.0
767,g06-018b-03-01,0,1.0
768,g06-018c-01-02,0,1.0
769,g06-018b-00-06,0,1.0
770,g06-018a-07-03,I,1.0
771,g06-018a-06-05,0,1.0
772,g06-018a-05-06,0,1.0
773,g06-018a-03-09,0,1.0
774,g06-018a-03-05,0,1.0
775,g06-018a-03-02,0,1.0
776,g06-018a-02-05,0,1.0
777,g06-018a-07-09,a,1.0
778,g06-018e-01-01,0,1.0
779,a06-134-07-06,a,1.0
780,g06-018c-02-10,0,1.0
781,g06-018d-07-02,a,1.0
782,g06-018d-06-08,I,1.0
